código,nome,carga_horaria,pre_requisito
011,pre-calculo,67,0
012,ingles-instrumental,33,0
013,introducao-a-engenharia-de-computacao,33,0
014,algoritmos-e-programacao,67,0
015,laboratorio-de-algoritmos-e-programacao,67,0
016,sistemas-digitais-i,67,0
017,medicao-eletro-eletronica,33,0
021,calculo-i,67,11
022,estatistica-aplicada-a-computacao,67,0
023,leitura-e-producao-de-textos,-33,0
024,estruturas-de-dados-e-algoritmos,67,14
025,laboratorio-de-estrutura-de-dados-e-algoritmos,33,15
026,sistemas-digitais-ii,67,16
027,educacao-ambiental-e-sustentabilidade,33,0
031,calculo-ii,67,-21
032,relacoes-humanas-no-trabalho,33,0
033,teoria-dos-grafos,67,24
034,programacao-orientada-a-objetos,67,14
035,laboratorio-de-programacao-orientada-a-objetos,67,15
036,organizacao-e-arquitetura-de-computadores,67,26
041,fisica-classica,67,21
042,metodologia-da-pesquisa-cientifica,67,0
043,teoria-da-computacao,67,24
044,sistemas-operacionais,67,"24,36"
045,microprocessadores-e-microcontroladores,67,36
051,algebra-linear-aplicada-a-computacao,67,31
052,eletricidade-e-eletromagnetismo,67,31
053,redes-de-computadores,67,24
054,banco-de-dados,67,24
055,projeto-de-sistemas-digitais,67,"36,44"
061,metodos-numericos,67,51-
062,inteligencia-artificial,67,43
063,padroes-de-projetos,67,"34,35"
064,sinais-e-sistemas,67,31
065,verificacao-funcional-de-sistemas-digitais,67,55
071,libras,33,0
072,analise-e-tecnicas-de-algoritmos,67,24
073,analise-e-projetos-de-sistemas,67,63
074,desenho-assistido-por-computador,67,0
075,circuitos-eletro-eletronicos,100,"52,64"
081,teste-de-software,67,"34,35,54"
082,gerencia-de-projetos,67,73
083,tecnicas-de-prototipagem,67,74
084,processamento-digital-de-sinais,67,"61,64"
085,sensores-e-atuadores,67,75
091,empreendedorismo-de-base-tecnologica,67,0
092,projeto-em-engenharia-de-computacao-i,67,83
093,sistemas-embarcados,67,"44,45"
094,controle-e-automacao-i,67,"61,75"


101,educacao-em-direitos-humanos,33,0
102,educacao-em-diversidade,33,0
103,projeto-em-engenharia-de-computacao-ii,67,92

001,desenvolvimento-de-sistemas-para-web,67,"54,63"
002,teoria-da-informacao-e-codificacao,67,"31,-43,64"
003,mineracao-de-dados,67,"22,54,62"
004,inteligencia-de-negocio,67,0
005,seguranca-da-informacao,67,"44,53"
006,algebra-vetorial-e-geometria-analitica,67,11
007,calculo-iii,67,31
008,computacao-pervasiva,67,"53,93"
009,desenvolvimento-para-dispositivos-moveis,67,"54,63"
010,sistemas-multiagente,67,62
011,compiladores,67,43
012,internet-das-coisas,67,53
013,processamento-digital-de-imagem,67,"24,84"
014,robotica,67,"62,94"
015,inovacao-tecnologica,67,0
016,controle-e-automacao-ii,67,94
017,coprojeto-de-hardware-e-software,67,"45,65"
018,topicos-especiais-em-engenharia-de-computacao-i,67,0
019,topicos-especiais-em-engenharia-de-computacao-ii,67,0



